description,stock_code,cancelled_lines,total_lines,cancel_rate_pct
CINDERELLA CHANDELIER ,23064,10,33,30.3
ROCOCO WALL MIRROR WHITE,23462,12,58,20.69
SAVOY ART DECO CLOCK,22461,13,66,19.7
"WHITE TEA,COFFEE,SUGAR JARS",85159B,13,72,18.06
VINTAGE RED KITCHEN CABINET,22655,8,46,17.39
SET OF 3 COLOURED  FLYING DUCKS,35004C,8,47,17.02
RETRO PLASTIC ELEPHANT TRAY,79191C,13,78,16.67
LARGE POPCORN HOLDER ,22198,15,101,14.85
FLOWERS CHANDELIER T-LIGHT HOLDER,23056,7,50,14.0
LARGE CAKE STAND HANGING HEARTS,22060,6,43,13.95
CERAMIC CAKE STAND + HANGING CAKES,37449,25,180,13.89
BOTANICAL GARDENS WALL CLOCK ,23485,13,96,13.54
TWO DOOR CURIO CABINET,21735,13,96,13.54
BLUE NEW BAROQUE CANDLESTICK CANDLE,84625C,5,40,12.5
RED RETROSPOT TRADITIONAL TEAPOT ,21527,21,170,12.35
