description,stock_code,total_revenue,total_units
REGENCY CAKESTAND 3 TIER,22423,174484.74,13879
"PAPER CRAFT , LITTLE BIRDIE",23843,168469.6,80995
WHITE HANGING HEART T-LIGHT HOLDER,85123A,104518.8,37660
PARTY BUNTING,47566,99504.33,18295
JUMBO BAG RED RETROSPOT,85099B,94340.05,48474
MEDIUM CERAMIC TOP STORAGE JAR,23166,81700.92,78033
RABBIT NIGHT LIGHT,23084,66964.99,30788
PAPER CHAIN KIT 50'S CHRISTMAS ,22086,64952.29,19355
ASSORTED COLOUR BIRD ORNAMENT,84879,59094.93,36461
CHILLI LIGHTS,79321,54117.76,10306
